category,Year,Month,n-3,n-2,n-1,y
1392.0,2018.0,5.0,396.0,464.0,464.0,464.0
1392.0,2018.0,6.0,464.0,464.0,464.0,464.0
1392.0,2018.0,7.0,464.0,464.0,464.0,68.0
1392.0,2018.0,8.0,464.0,464.0,68.0,428.0
714.0,2015.0,7.0,12.0,12.0,12.0,32.0
714.0,2015.0,8.0,12.0,12.0,32.0,20.0
714.0,2015.0,9.0,12.0,32.0,20.0,20.0
714.0,2015.0,10.0,32.0,20.0,20.0,22.0
714.0,2015.0,11.0,20.0,20.0,22.0,112.0
714.0,2015.0,12.0,20.0,22.0,112.0,112.0
714.0,2016.0,1.0,22.0,112.0,112.0,92.0
714.0,2016.0,2.0,112.0,112.0,92.0,106.0
714.0,2016.0,3.0,112.0,92.0,106.0,106.0
714.0,2016.0,4.0,92.0,106.0,106.0,104.0
714.0,2016.0,5.0,106.0,106.0,104.0,14.0
714.0,2016.0,6.0,106.0,104.0,14.0,14.0
714.0,2016.0,7.0,104.0,14.0,14.0,214.0
714.0,2016.0,8.0,14.0,14.0,214.0,554.0
714.0,2016.0,9.0,14.0,214.0,554.0,554.0
714.0,2016.0,10.0,214.0,554.0,554.0,574.0
714.0,2016.0,11.0,554.0,554.0,574.0,606.0
714.0,2016.0,12.0,554.0,574.0,606.0,606.0
714.0,2017.0,1.0,574.0,606.0,606.0,406.0
714.0,2017.0,2.0,606.0,606.0,406.0,56.0
714.0,2017.0,3.0,606.0,406.0,56.0,58.0
714.0,2017.0,4.0,406.0,56.0,58.0,38.0
714.0,2017.0,5.0,56.0,58.0,38.0,6.0
714.0,2017.0,6.0,58.0,38.0,6.0,6.0
714.0,2017.0,7.0,38.0,6.0,6.0,6.0
714.0,2017.0,8.0,6.0,6.0,6.0,2.0
714.0,2017.0,9.0,6.0,6.0,2.0,440.0
714.0,2017.0,10.0,6.0,2.0,440.0,1030.0
714.0,2017.0,11.0,2.0,440.0,1030.0,1030.0
714.0,2017.0,12.0,440.0,1030.0,1030.0,1034.0
714.0,2018.0,1.0,1030.0,1030.0,1034.0,1034.0
714.0,2018.0,2.0,1030.0,1034.0,1034.0,1114.0
714.0,2018.0,3.0,1034.0,1034.0,1114.0,674.0
714.0,2018.0,4.0,1034.0,1114.0,674.0,128.0
714.0,2018.0,5.0,1114.0,674.0,128.0,128.0
714.0,2018.0,6.0,674.0,128.0,128.0,190.0
714.0,2018.0,7.0,128.0,128.0,190.0,192.0
714.0,2018.0,8.0,128.0,190.0,192.0,236.0
714.0,2018.0,9.0,190.0,192.0,236.0,236.0
714.0,2018.0,10.0,192.0,236.0,236.0,192.0
2014.0,2015.0,10.0,198.0,198.0,124.0,124.0
2014.0,2015.0,11.0,198.0,124.0,124.0,50.0
2014.0,2015.0,12.0,124.0,124.0,50.0,50.0
2014.0,2016.0,1.0,124.0,50.0,50.0,50.0
